date,mean_temp_k,mean_temp_c
01-Jul-00,283.569,10.419
01-Aug-00,283.642,10.492
01-Sep-00,275.444,2.294
01-Oct-00,267.113,-6.037
01-Nov-00,263.821,-9.329
01-Dec-00,258.264,-14.886
01-Jan-01,245.308,-27.842
01-Feb-01,247.969,-25.181
01-Mar-01,261.973,-11.177
01-Apr-01,261.79,-11.36
01-May-01,273.47,0.32
01-Jun-01,276.737,3.587
01-Jul-01,280.528,7.378
01-Aug-01,281.948,8.798
01-Sep-01,275.309,2.159
01-Oct-01,270.034,-3.116
01-Nov-01,262.248,-10.902
01-Dec-01,259.974,-13.176
01-Jan-02,243.331,-29.819
01-Feb-02,246.044,-27.106
01-Mar-02,250.952,-22.198
01-Apr-02,260.917,-12.233
01-May-02,268.445,-4.705
01-Jun-02,274.789,1.639
01-Jul-02,282.543,9.393
01-Aug-02,281.277,8.127
01-Sep-02,276.571,3.421
01-Oct-02,269.578,-3.572
01-Nov-02,261.279,-11.871
01-Dec-02,254.198,-18.952
01-Jan-03,252.873,-20.277
01-Feb-03,244.378,-28.772
01-Mar-03,248.234,-24.916
01-Apr-03,261.185,-11.965
01-May-03,273.381,0.231
01-Jun-03,277.208,4.058
01-Jul-03,282.588,9.438
01-Aug-03,282.223,9.073
01-Sep-03,280.247,7.097
01-Oct-03,270.423,-2.727
01-Nov-03,264.431,-8.719
01-Dec-03,257.915,-15.235
01-Jan-04,251.885,-21.265
01-Feb-04,250.3,-22.85
01-Mar-04,253.022,-20.128
01-Apr-04,262.366,-10.784
01-May-04,269.94,-3.21
01-Jun-04,276.785,3.635
01-Jul-04,283.118,9.968
01-Aug-04,281.46,8.31
01-Sep-04,274.896,1.746
01-Oct-04,271.902,-1.248
01-Nov-04,263.961,-9.189
01-Dec-04,250.444,-22.706
01-Jan-05,242.702,-30.448
01-Feb-05,250.936,-22.214
01-Mar-05,257.157,-15.993
01-Apr-05,265.968,-7.182
01-May-05,273.381,0.231
01-Jun-05,278.094,4.944
01-Jul-05,283.066,9.916
01-Aug-05,280.349,7.199
01-Sep-05,276.569,3.419
01-Oct-05,271.466,-1.684
01-Nov-05,263.66,-9.49
01-Dec-05,254.019,-19.131
01-Jan-06,249.07,-24.08
01-Feb-06,254.079,-19.071
01-Mar-06,261.264,-11.886
01-Apr-06,266.871,-6.279
01-May-06,274.37,1.22
01-Jun-06,278.834,5.684
01-Jul-06,283.057,9.907
01-Aug-06,281.209,8.059
01-Sep-06,276.636,3.486
01-Oct-06,271.747,-1.403
01-Nov-06,263.777,-9.373
01-Dec-06,254.901,-18.249
01-Jan-07,252.051,-21.099
01-Feb-07,254.948,-18.202
01-Mar-07,253.075,-20.075
01-Apr-07,263.315,-9.835
01-May-07,267.589,-5.561
01-Jun-07,277.307,4.157
01-Jul-07,283.658,10.508
01-Aug-07,281.337,8.187
01-Sep-07,274.044,0.894
01-Oct-07,269.783,-3.367
01-Nov-07,259.144,-14.006
01-Dec-07,247.644,-25.506
01-Jan-08,246.145,-27.005
01-Feb-08,245.516,-27.634
01-Mar-08,251.322,-21.828
01-Apr-08,265.554,-7.596
01-May-08,273.62,0.47
01-Jun-08,281.182,8.032
01-Jul-08,283.055,9.905
01-Aug-08,282.766,9.616
01-Sep-08,275.754,2.604
01-Oct-08,271.248,-1.902
01-Nov-08,263.975,-9.175
01-Dec-08,249.732,-23.418
01-Jan-09,250.504,-22.646
01-Feb-09,252.986,-20.164
01-Mar-09,253.757,-19.393
01-Apr-09,261.628,-11.522
01-May-09,266.672,-6.478
01-Jun-09,276.058,2.908
01-Jul-09,281.811,8.661
01-Aug-09,279.416,6.266
01-Sep-09,274.823,1.673
01-Oct-09,268.582,-4.568
01-Nov-09,263.475,-9.675
01-Dec-09,261.176,-11.974
01-Jan-10,255.619,-17.531
01-Feb-10,262.732,-10.418
01-Mar-10,257.962,-15.188
01-Apr-10,268.466,-4.684
01-May-10,272.55,-0.6
01-Jun-10,276.413,3.263
01-Jul-10,282.681,9.531
01-Aug-10,285.528,12.378
01-Sep-10,277.454,4.304
01-Oct-10,272.2,-0.95
01-Nov-10,267.643,-5.507
01-Dec-10,264.627,-8.523
01-Jan-11,256.973,-16.177
01-Feb-11,246.308,-26.842
01-Mar-11,253.787,-19.363
01-Apr-11,258.508,-14.642
01-May-11,268.266,-4.884
01-Jun-11,276.695,3.545
01-Jul-11,282.29,9.14
01-Aug-11,282.437,9.287
01-Sep-11,276.045,2.895
01-Oct-11,269.523,-3.627
01-Nov-11,262.324,-10.826
01-Dec-11,252.394,-20.756
01-Jan-12,249.144,-24.006
01-Feb-12,248.674,-24.476
01-Mar-12,252.748,-20.402
01-Apr-12,263.413,-9.737
01-May-12,271.218,-1.932
01-Jun-12,283.368,10.218
01-Jul-12,283.323,10.173
01-Aug-12,283.638,10.488
01-Sep-12,278.159,5.009
01-Oct-12,270.984,-2.166
01-Nov-12,263.591,-9.559
